Epoca;Train_Loss;Val_Loss
1;0.060735845140048435;0.060956613160669804
2;0.0595510197537286;0.06239509675651789
3;0.059190942240612845;0.05560347065329552
4;0.05744948238134384;0.06099742092192173
5;0.05482891947031021;0.05770283192396164
6;0.05483258622033255;0.05181331094354391
7;0.04928720848900931;0.04146512132138014
8;0.03837193974426815;0.028086619917303324
9;0.03224456203835351;0.029016862623393536
10;0.02827439989362444;0.024291836190968752
11;0.027625864105565206;0.0214604283683002
12;0.019939267741782323;0.014563155360519886
13;0.012344726627426488;0.013575651217252016
14;0.01017434841820172;0.008840209571644664
15;0.00698134841929589;0.009768829215317965
16;0.006410473824611732;0.006992325885221362
17;0.005468485145164388;0.0060996535466983914
18;0.004684796091169119;0.005379919428378344
19;0.004551522134404097;0.006024998612701893
20;0.004366452938744;0.00444705446716398
21;0.004259205888956785;0.004817822016775608
22;0.004008315603381821;0.0045544293243438005
23;0.003924744935440165;0.004578188178129494
24;0.0038602418665375027;0.004101348051335663
25;0.0038084760973496096;0.00396947783883661
26;0.0031447578221559525;0.003993901773355901
27;0.0034940123025860104;0.004336785175837576
28;0.0030875830645007746;0.00413991988170892
29;0.0029692370111921;0.0035011167055927217
30;0.0030283042828419377;0.003574663249310106
31;0.0029116758378222585;0.0033505996107123792
32;0.002647084233883236;0.0035203518928028643
33;0.002685100255933191;0.0037523461505770683
34;0.00269218537557338;0.0035054116742685437
35;0.002475584524550608;0.0031106644892133772
36;0.0026781290237392697;0.0032466919510625303
37;0.002598201639817229;0.0032225241302512586
38;0.0025360341117318186;0.0031996582983992994
39;0.002374411959733282;0.0032345016370527446
40;0.0023920235190806644;0.0027364143752492964
41;0.0022289473064509885;0.0031484636128880084
42;0.0022107999372695175;0.002982935751788318
43;0.002205018702495311;0.0032177004031836987
44;0.002192579808511904;0.0028484200011007488
45;0.002126006592464234;0.0026890344452112913
46;0.0020968569276322213;0.00272067281184718
47;0.0020199843482779606;0.0027342691319063306
48;0.0018195822069953596;0.002299603307619691
49;0.0019259186062429632;0.0025680874241515994
50;0.0019119045630629574;0.0023815905733499676
51;0.0019148635079285928;0.0027320621302351356
52;0.0017704765279112117;0.0022592769819311798
53;0.001922721292690507;0.0023066630528774112
54;0.001859906079646732;0.0021253734594210982
55;0.0017739048094621726;0.002421596582280472
56;0.0017388009166877186;0.002137255360139534
57;0.0017755214025133423;0.0020538078679237515
58;0.0017558450178642357;0.0019792418752331287
59;0.0018165419876043285;0.0020492752082645893
60;0.001720887259580195;0.0022634081542491913
