Epoca;Train_Total;Train_Img_mse;Train_Adv_mse;Val_Total;Val_Img_mse;Val_Adv_mse
1;0.09534971628870283;0.09534971628870283;1.250688178198678;0.06525009591132402;0.06525009591132402;0.6508862227201462
2;0.08633660525083542;0.08633660525083542;1.0108882359095983;0.06619019247591496;0.06619019247591496;0.6605561599135399
3;0.08275085581200463;0.08275085581200463;1.1380989806992667;0.06771327182650566;0.06771327182650566;0.6904660761356354
4;0.07655735846076693;0.07655735846076693;1.0921738147735596;0.06837048288434744;0.06837048288434744;0.7060595601797104
5;0.07251328336341041;0.07251328336341041;1.137032917567662;0.06635940726846457;0.06635940726846457;0.841229647397995
6;0.06836432431425367;0.06836432431425367;1.0414169813905443;0.06214574724435806;0.06214574724435806;0.840050607919693
7;0.0640850482242448;0.0640850482242448;1.0052316614559718;0.05646357871592045;0.05646357871592045;0.9916417300701141
8;0.06257501297763415;0.06257501297763415;1.0013271825654166;0.05248648766428232;0.05248648766428232;1.1880150139331818
9;0.05805486334221704;0.05805486334221704;1.0434533527919225;0.04904660675674677;0.04904660675674677;1.108660489320755
10;0.054555432072707584;0.054555432072707584;0.9380268284252712;0.045954289846122265;0.045954289846122265;1.0601251274347305
11;0.05234359896608761;0.05234359896608761;0.9545937861715045;0.04316857550293207;0.04316857550293207;1.1474825739860535
12;0.048163620488984246;0.048163620488984246;1.0023437568119593;0.040479570627212524;0.040479570627212524;1.2360823452472687
13;0.04589405496205602;0.04589405496205602;0.9989284021513802;0.037871760316193104;0.037871760316193104;1.1051782369613647
14;0.04376802806343351;0.04376802806343351;1.142568588256836;0.03550166543573141;0.03550166543573141;1.0696471333503723
15;0.03843359862055097;0.03843359862055097;1.286273215498243;0.033354285173118114;0.033354285173118114;1.0172945111989975
16;0.03634357665266309;0.03634357665266309;1.175936256136213;0.030829202383756638;0.030829202383756638;1.2090333104133606
17;0.03422948398760387;0.03422948398760387;1.165672710963658;0.02905271714553237;0.02905271714553237;1.1805536448955536
18;0.033035850684557645;0.033035850684557645;1.3473135828971863;0.027370844502002;0.027370844502002;1.352217048406601
19;0.031399638525077274;0.031399638525077274;1.410969546863011;0.026138258166611195;0.026138258166611195;1.246066004037857
20;0.028699352805103575;0.028699352805103575;1.3637978860310145;0.02498017018660903;0.02498017018660903;1.281361609697342
21;0.02811674667256219;0.02811674667256219;1.564541322844369;0.023348920978605747;0.023348920978605747;1.535839170217514
22;0.027071261246289526;0.027071261246289526;1.5176822968891688;0.022748473100364208;0.022748473100364208;1.8529439866542816
23;0.025758076193077222;0.025758076193077222;1.7207972492490495;0.02234157407656312;0.02234157407656312;1.9509808421134949
24;0.02511946564274175;0.02511946564274175;1.925007939338684;0.020784483291208744;0.020784483291208744;1.9768867194652557
25;0.023578487868819917;0.023578487868819917;1.9639933620180403;0.020402973517775536;0.020402973517775536;2.0014989972114563
26;0.02411028210605894;0.02411028210605894;1.8141125099999564;0.019790897611528635;0.019790897611528635;2.0005786418914795
27;0.021463020837732723;0.021463020837732723;2.0054274116243636;0.019197991117835045;0.019197991117835045;2.100629448890686
28;0.02152166116450514;0.02152166116450514;2.207179750714983;0.01813716790638864;0.01813716790638864;2.283097207546234
29;0.02186274209192821;0.02186274209192821;1.9747475385665894;0.018549157306551933;0.018549157306551933;2.354726403951645
30;0.019980119807379588;0.019980119807379588;2.192018525941031;0.018162823282182217;0.018162823282182217;2.4803335070610046
31;0.019676259585789273;0.019676259585789273;2.511920843805586;0.017192476196214557;0.017192476196214557;2.5718419551849365
32;0.01956775678055627;0.01956775678055627;2.397206289427621;0.017424532445147634;0.017424532445147634;2.6418195366859436
33;0.018835723932300295;0.018835723932300295;2.739050933292934;0.016808674903586507;0.016808674903586507;2.883151948451996
34;0.018414598490510668;0.018414598490510668;2.543009638786316;0.016314160777255893;0.016314160777255893;2.779456675052643
35;0.018729507657034055;0.018729507657034055;2.720674821308681;0.016103069996461272;0.016103069996461272;2.8163288235664368
