nomeImg;modello usato;categoria;stato;bit accuracy;wm presence (logit c0)
528b474cad675a6c_crop2.png;pixelseal;img_dirette;Pulita;0.4688;-0.031
528b474cad675a6c_crop2.png;pixelseal;img_dirette;Watermarked;1.0;0.0508
528b474cad675a6c_crop2.png;pixelseal;img_dirette;Attaccata;0.8086;-0.0056
883cbab2c31aba88_crop0.png;pixelseal;img_dirette;Pulita;0.5312;-0.0096
883cbab2c31aba88_crop0.png;pixelseal;img_dirette;Watermarked;1.0;-0.0767
883cbab2c31aba88_crop0.png;pixelseal;img_dirette;Attaccata;0.7305;0.0071
c60b4dfea04074c0_crop2.png;pixelseal;img_dirette;Pulita;0.5039;-0.0257
c60b4dfea04074c0_crop2.png;pixelseal;img_dirette;Watermarked;1.0;-0.1273
c60b4dfea04074c0_crop2.png;pixelseal;img_dirette;Attaccata;0.9258;-0.0785
18d58f0cccb265c4_crop0.png;pixelseal;img_dirette;Pulita;0.5117;-0.0302
18d58f0cccb265c4_crop0.png;pixelseal;img_dirette;Watermarked;1.0;-0.031
18d58f0cccb265c4_crop0.png;pixelseal;img_dirette;Attaccata;0.6797;-0.0075
73be5f07407a7747_crop1.png;pixelseal;img_dirette;Pulita;0.5234;-0.0225
73be5f07407a7747_crop1.png;pixelseal;img_dirette;Watermarked;1.0;-0.0454
73be5f07407a7747_crop1.png;pixelseal;img_dirette;Attaccata;0.6328;-0.037
fe0a0e92b569f9a8_crop1.png;pixelseal;img_dirette;Pulita;0.5156;-0.0335
fe0a0e92b569f9a8_crop1.png;pixelseal;img_dirette;Watermarked;1.0;-0.1131
fe0a0e92b569f9a8_crop1.png;pixelseal;img_dirette;Attaccata;0.6758;-0.0314
0af3a38982db7f5d_crop2.png;pixelseal;img_dirette;Pulita;0.4844;-0.0107
0af3a38982db7f5d_crop2.png;pixelseal;img_dirette;Watermarked;1.0;0.1309
0af3a38982db7f5d_crop2.png;pixelseal;img_dirette;Attaccata;0.6992;-0.0467
