Epoca;Train_Loss;Val_Loss
1;0.44895500370434355;0.5412182956933975
2;0.37586396081107004;0.4856683984398842
3;0.3447073655469077;0.4121495261788368
4;0.32550316623279024;0.3354574739933014
5;0.3044060298374721;0.3027985766530037
6;0.29403884070260183;0.28892742842435837
7;0.2761385611125401;0.26710203289985657
8;0.27253448963165283;0.26791438460350037
9;0.2593341384615217;0.3082585483789444
10;0.2646996336323874;0.2910640016198158
11;0.2551082181079047;0.3150809779763222
12;0.25845229838575634;0.31007586792111397
13;0.2557453853743417;0.2608758397400379
14;0.2466137068612235;0.24563183262944221
15;0.2560234580721174;0.23730741813778877
16;0.2529275098017284;0.26916761323809624
17;0.25202852700437817;0.23735152557492256
18;0.2561122051307133;0.2432544305920601
19;0.2513161471911839;0.23948711529374123
20;0.2553107610770634;0.251381978392601
21;0.2443737941128867;0.23652081564068794
22;0.23980634340218135;0.22843677178025246
23;0.25079881719180513;0.23949212953448296
24;0.23939694038459233;0.28806815668940544
25;0.24529655490602767;0.27746231108903885
26;0.2452941004719053;0.23162385076284409
27;0.24513061557497298;0.23811815306544304
28;0.2404759100505284;0.22959743440151215
29;0.24235473147460393;0.23320723697543144
30;0.24113509697573526;0.22942592203617096
31;0.24159311396735056;0.22992080450057983
32;0.2535399794578552;0.22706319764256477
33;0.24178625004632132;0.2293587364256382
34;0.2373389026948384;0.23226643353700638
35;0.23601152854306356;0.23916291818022728
36;0.24837281448500498;0.22496550530195236
37;0.23190522832529886;0.23016928508877754
38;0.23495329916477203;0.23756348341703415
39;0.24257640540599823;0.2255239635705948
40;0.23482139195714677;0.2326643206179142
41;0.23426784362111772;0.2314957194030285
42;0.24606099086148397;0.24022283032536507
43;0.24364770097391947;0.22502778097987175
44;0.2427167466708592;0.2275569885969162
45;0.2368851751089096;0.22781157866120338
46;0.2519820119653429;0.2359914444386959
47;0.24023691884108953;0.2249184399843216
48;0.2419594270842416;0.22618288174271584
49;0.24232377750532968;0.2265978492796421
50;0.2322747813803809;0.22448842227458954
51;0.22942805928843363;0.2275012582540512
52;0.2412730668272291;0.2247362993657589
53;0.23330551385879517;0.22443381696939468
54;0.24690744493688857;0.2290148101747036
55;0.24977209312575205;0.23875415325164795
56;0.24850781049047196;0.21995922923088074
57;0.24930867552757263;0.23202596604824066
58;0.23790963845593588;0.2280399613082409
59;0.23406989233834402;0.23075411468744278
60;0.23806940019130707;0.23028670623898506
