nomeImg;modello usato;categoria;stato;bit accuracy;wm presence (logit c0)
8f6cc697ff4a0cda_crop1.png;pixelseal;img_dirette;Attaccata;0.9805;0.2554
5c407d026717acce_crop3.png;pixelseal;img_dirette;Pulita;0.4844;-0.0128
5c407d026717acce_crop3.png;pixelseal;img_dirette;Watermarked;1.0;-0.004
5c407d026717acce_crop3.png;pixelseal;img_dirette;Attaccata;0.9531;-0.0171
1e3965ebc6806fbc_crop0.png;pixelseal;img_dirette;Pulita;0.5156;-0.0174
1e3965ebc6806fbc_crop0.png;pixelseal;img_dirette;Watermarked;1.0;0.0578
1e3965ebc6806fbc_crop0.png;pixelseal;img_dirette;Attaccata;0.9766;0.0455
bafd23428b91ec93_crop3.png;pixelseal;img_dirette;Pulita;0.5391;-0.0132
bafd23428b91ec93_crop3.png;pixelseal;img_dirette;Watermarked;1.0;0.1728
bafd23428b91ec93_crop3.png;pixelseal;img_dirette;Attaccata;0.9531;0.1202
c60b4dfea04074c0_crop1.png;pixelseal;img_dirette;Pulita;0.4688;-0.0141
c60b4dfea04074c0_crop1.png;pixelseal;img_dirette;Watermarked;1.0;0.0337
c60b4dfea04074c0_crop1.png;pixelseal;img_dirette;Attaccata;0.9883;0.0443
4ced33b1d7bdd35c_crop3.png;pixelseal;img_dirette;Pulita;0.5352;-0.0113
4ced33b1d7bdd35c_crop3.png;pixelseal;img_dirette;Watermarked;1.0;-0.0877
4ced33b1d7bdd35c_crop3.png;pixelseal;img_dirette;Attaccata;0.9883;-0.0448
420a3f66afb06765_crop2.png;pixelseal;img_dirette;Pulita;0.4453;-0.0169
420a3f66afb06765_crop2.png;pixelseal;img_dirette;Watermarked;1.0;-0.2258
420a3f66afb06765_crop2.png;pixelseal;img_dirette;Attaccata;0.9961;-0.1709
376fc8137325e69c_crop3.png;pixelseal;img_dirette;Pulita;0.5;-0.0402
376fc8137325e69c_crop3.png;pixelseal;img_dirette;Watermarked;1.0;0.0179
376fc8137325e69c_crop3.png;pixelseal;img_dirette;Attaccata;0.9844;0.0619
791caaeb3f093f0e_crop2.png;pixelseal;img_dirette;Pulita;0.4883;-0.0271
791caaeb3f093f0e_crop2.png;pixelseal;img_dirette;Watermarked;1.0;0.0902
791caaeb3f093f0e_crop2.png;pixelseal;img_dirette;Attaccata;1.0;0.1062
65798d6e9bf80784_crop1.png;pixelseal;img_dirette;Pulita;0.4844;-0.0201
65798d6e9bf80784_crop1.png;pixelseal;img_dirette;Watermarked;1.0;-0.0219
65798d6e9bf80784_crop1.png;pixelseal;img_dirette;Attaccata;0.9766;-0.0506
73be5f07407a7747_crop0.png;pixelseal;img_dirette;Pulita;0.4727;-0.0323
73be5f07407a7747_crop0.png;pixelseal;img_dirette;Watermarked;1.0;-0.2939
73be5f07407a7747_crop0.png;pixelseal;img_dirette;Attaccata;0.9648;-0.2365
ee888ed228a6dccf_crop3.png;pixelseal;img_dirette;Pulita;0.5195;-0.0344
ee888ed228a6dccf_crop3.png;pixelseal;img_dirette;Watermarked;1.0;-0.0553
ee888ed228a6dccf_crop3.png;pixelseal;img_dirette;Attaccata;0.9648;-0.0508
376fc8137325e69c_crop0.png;pixelseal;img_dirette;Pulita;0.5352;0.0002
376fc8137325e69c_crop0.png;pixelseal;img_dirette;Watermarked;1.0;0.1247
376fc8137325e69c_crop0.png;pixelseal;img_dirette;Attaccata;0.9688;0.1222
376fc8137325e69c_crop1.png;pixelseal;img_dirette;Pulita;0.4688;-0.022
376fc8137325e69c_crop1.png;pixelseal;img_dirette;Watermarked;1.0;0.0976
376fc8137325e69c_crop1.png;pixelseal;img_dirette;Attaccata;0.9648;0.0836
0af3a38982db7f5d_crop1.png;pixelseal;img_dirette;Pulita;0.5859;-0.0306
0af3a38982db7f5d_crop1.png;pixelseal;img_dirette;Watermarked;1.0;-0.09
0af3a38982db7f5d_crop1.png;pixelseal;img_dirette;Attaccata;0.9492;-0.1543
a9f1534e193e7154_crop3.png;pixelseal;img_dirette;Pulita;0.4883;0.0003
a9f1534e193e7154_crop3.png;pixelseal;img_dirette;Watermarked;1.0;-0.1057
a9f1534e193e7154_crop3.png;pixelseal;img_dirette;Attaccata;0.9766;-0.1041
376fc8137325e69c_crop2.png;pixelseal;img_dirette;Pulita;0.5;-0.0282
376fc8137325e69c_crop2.png;pixelseal;img_dirette;Watermarked;1.0;0.1661
376fc8137325e69c_crop2.png;pixelseal;img_dirette;Attaccata;0.9922;0.1527
