Epoca;Train_Loss;Val_Loss
1;0.5496103508131844;0.4872087463736534
2;0.5524509421416691;0.5593166202306747
3;0.5272282660007477;0.5657059475779533
4;0.5053425431251526;0.6248979493975639
5;0.5559962349278587;0.5291122868657112
6;0.575331564460482;0.5624679774045944
7;0.5125985997063773;0.6291835755109787
8;0.5112549023968833;0.7139830589294434
9;0.4939034027712686;0.5387622267007828
10;0.4760006708758218;0.5741493403911591
11;0.5490726998874119;0.49238189309835434
12;0.5884186497756413;0.6789239943027496
13;0.48244443110057283;0.5842442885041237
14;0.5218422412872314;0.5484820678830147
15;0.5475338441984994;0.5508371889591217
16;0.5596884914806911;0.5293541997671127
17;0.5152549658502851;0.5418589636683464
18;0.5020151351179395;0.6556023210287094
19;0.4775975687163217;0.6285210400819778
20;0.5893355182238987;0.5598719716072083
21;0.4962102898529598;0.666672483086586
22;0.5501950468335833;0.5633096620440483
23;0.4968956538609096;0.6688517779111862
24;0.5008764692715236;0.6070736944675446
25;0.5447017593043191;0.5954791903495789
26;0.5100393295288086;0.5416859984397888
27;0.459267829145704;0.6262884065508842
28;0.5366787953036172;0.5956671386957169
29;0.5157464742660522;0.5631202980875969
30;0.5504936405590602;0.5465990975499153
31;0.5374438379492078;0.6406165212392807
32;0.6179512100560325;0.6585478335618973
33;0.5066986509731838;0.6891335546970367
34;0.5730219483375549;0.6469646990299225
35;0.6027952134609222;0.7015549093484879
36;0.5270779175417764;0.5546229034662247
37;0.549320216689791;0.5802930593490601
38;0.47986413325582233;0.6290473341941833
39;0.5075208800179618;0.5333780646324158
40;0.5105888247489929;0.509745217859745
41;0.508525971855436;0.6911616027355194
42;0.5269098963056292;0.6714938133955002
43;0.5186507872172764;0.5819529592990875
44;0.5152883018766131;0.5911316573619843
45;0.47957156385694233;0.6080934107303619
46;0.5267692463738578;0.6797647699713707
47;0.5039559773036412;0.49242427945137024
48;0.4853300026484898;0.5610512644052505
49;0.5337874463626316;0.5073264315724373
50;0.5620701483317784;0.5426346063613892
51;0.5709575499807086;0.6534325480461121
52;0.4768080413341522;0.6968366354703903
53;0.4768533280917576;0.5805197432637215
54;0.5081354933125632;0.5392367094755173
55;0.5469146541186741;0.5291293188929558
56;0.5271223144871848;0.5786830484867096
57;0.5473781781537193;0.5884078294038773
58;0.5605192695345197;0.6266385763883591
59;0.5174048330102649;0.5810469090938568
60;0.5804096588066646;0.5278439596295357
