Epoca;Train_Total_Loss;Train_Img_Loss;Train_Adv_Loss;Val_Total_Loss;Val_Img_Loss;Val_Adv_Loss
1;7.532470430646624;0.4638509750366211;1.2317192639623369;6.995564341545105;0.4329395666718483;0.7614568620920181
2;6.342877183641706;0.39043545722961426;1.0656656197139196;6.779559016227722;0.4177263453602791;1.0659715607762337
3;5.64993109021868;0.3470481378691537;1.0795655335698808;5.540112137794495;0.33838585019111633;1.3993167281150818
4;5.187150614602225;0.31656090702329365;1.3575122100966317;4.503439426422119;0.27474790066480637;1.194145381450653
5;4.926688943590436;0.3001288431031363;1.3847482885633196;3.7720879316329956;0.2282385192811489;1.336351066827774
6;4.552242347172329;0.2768450379371643;1.3635744197028024;3.6490060687065125;0.22127942368388176;1.2059479653835297
7;3.9293834481920515;0.23761888486998423;1.4164597221783228;3.2451894283294678;0.1950518898665905;1.381768211722374
8;3.631140640803746;0.21750238324914659;1.678916232926505;2.9280486702919006;0.17429646849632263;1.547835350036621
9;3.405635561261858;0.20347825757094792;1.6664821250098092;2.696252763271332;0.16089779883623123;1.354310780763626
10;2.9142378057752336;0.17325860474790847;1.5788900341306413;2.493092864751816;0.14781409315764904;1.4229712784290314
11;2.628063542502267;0.15416123611586435;1.7942638908113753;2.191330164670944;0.12973504699766636;1.2841041404753923
12;2.4918761253356934;0.14751155461583818;1.46323618718556;2.216310739517212;0.12990290485322475;1.531825728714466
13;2.1982905864715576;0.12602545320987701;2.020925726209368;1.8244374096393585;0.10375424847006798;1.8263270556926727
14;2.0107833317347934;0.11520909092256001;1.8604208741869246;1.627348244190216;0.09227707237005234;1.6768344938755035
15;1.8219083547592163;0.10504544100591115;1.5686807802745275;1.6247041821479797;0.0919115487486124;1.7124376595020294
16;1.85593547139849;0.10802463974271502;1.417124799319676;1.4524819552898407;0.08229190856218338;1.5090154111385345
17;1.6304562432425362;0.09357219828026635;1.481123345238822;1.3945887982845306;0.07783951610326767;1.6572946906089783
18;1.6148152351379395;0.09148333434547697;1.6786878194127763;1.373524248600006;0.07816710323095322;1.3650068044662476
19;1.6442988770348685;0.09586105389254433;1.2280225924083166;1.2505520284175873;0.07076700776815414;1.314221203327179
20;1.4725133180618286;0.0841660105756351;1.3984128832817078;1.1975067704916;0.06591407582163811;1.5875725746154785
21;1.4127374035971505;0.08105158912284034;1.2879108020237513;1.4512130618095398;0.08031412120908499;1.8465235829353333
22;1.364446997642517;0.07709054116691862;1.455536893435887;1.3754988312721252;0.07648476585745811;1.6860284805297852
23;1.3162912470953805;0.0745234414935112;1.376846534865243;1.1273082941770554;0.055113326758146286;2.7277226746082306
24;1.3064024448394775;0.07459003371851784;1.255132257938385;1.1962394416332245;0.062183656729757786;2.236677199602127
