nomeImg;modello usato;categoria;stato;bit accuracy;wm presence (logit c0)
8f6cc697ff4a0cda_center512.png;pixelseal;img_dirette;Watermarked;1.0;-0.3054
8f6cc697ff4a0cda_center512.png;pixelseal;img_dirette;Attaccata;0.6992;-0.0476
006afe56d09e8a25_center512.png;pixelseal;img_dirette;Pulita;0.5391;-0.0426
006afe56d09e8a25_center512.png;pixelseal;img_dirette;Watermarked;1.0;0.1297
006afe56d09e8a25_center512.png;pixelseal;img_dirette;Attaccata;0.6289;-0.0192
73be5f07407a7747_center512.png;pixelseal;img_dirette;Pulita;0.4766;-0.0098
73be5f07407a7747_center512.png;pixelseal;img_dirette;Watermarked;1.0;-0.1628
73be5f07407a7747_center512.png;pixelseal;img_dirette;Attaccata;0.6562;-0.0023
4ced33b1d7bdd35c_center512.png;pixelseal;img_dirette;Pulita;0.457;-0.0186
4ced33b1d7bdd35c_center512.png;pixelseal;img_dirette;Watermarked;1.0;0.1608
4ced33b1d7bdd35c_center512.png;pixelseal;img_dirette;Attaccata;0.5938;-0.0064
72a524ff4f26d0c6_center512.png;pixelseal;img_dirette;Pulita;0.5742;-0.0148
72a524ff4f26d0c6_center512.png;pixelseal;img_dirette;Watermarked;1.0;0.1713
72a524ff4f26d0c6_center512.png;pixelseal;img_dirette;Attaccata;0.7109;0.0007
