Epoca;Train_Total_Loss;Val_Total_Loss
1;3.591336182185582;3.5325942039489746
2;3.0538951669420515;3.586584448814392
3;2.598802396229335;3.435674786567688
4;2.510073661804199;2.9279540181159973
5;2.2568819522857666;2.288784682750702
6;2.0363525663103377;2.027393728494644
7;1.9363503796713692;1.877285659313202
8;1.906807575907026;1.6028925776481628
9;1.879715851375035;1.656880497932434
10;1.8422022717339652;1.6447676122188568
11;1.7823775666100639;1.7766981720924377
12;1.6973790100642614;1.7452481985092163
13;1.7156887905938285;1.4489465057849884
14;1.6222579990114485;1.3132571876049042
15;1.6746939250401087;1.3316915035247803
16;1.5318598917552404;1.306062012910843
17;1.4917538506644112;1.2852632403373718
18;1.5558857747486659;1.1707049906253815
19;1.4600014516285487;1.5599181354045868
20;1.517334222793579;1.4032083451747894
21;1.4752263852528162;1.2367709279060364
22;1.4239612988063268;1.1865162402391434
23;1.468368513243539;1.1440679728984833
24;1.3367647188050407;1.189880058169365
25;1.3508706433432442;1.113982230424881
26;1.2500380788530623;1.3439025580883026
27;1.2604299102510725;1.0234944373369217
28;1.1937558480671473;1.058993473649025
29;1.2807931389127458;1.0198336988687515
30;1.2784462826592582;1.0085806548595428
31;1.2352373259408134;0.9407579600811005
32;1.204284165586744;1.1665562093257904
33;1.1766901527132307;1.0960379838943481
34;1.1397181919642858;1.0076884180307388
35;1.1582215939249312;0.9627123326063156
36;1.1512019804545812;0.9902533888816833
37;1.0499146325247628;1.0738411098718643
38;1.1187188029289246;0.8981147855520248
39;1.0968919226101466;0.9942452907562256
40;1.2021339450563704;0.9964864999055862
41;1.2639455539839608;1.1453411281108856
42;1.0635842340333121;0.8970339000225067
43;1.0673919234957014;0.9488041698932648
44;1.0434372935976302;1.1511730551719666
45;1.1202980535370963;1.047045037150383
46;1.0542938283511571;1.1580828428268433
47;1.0891009313719613;0.857125774025917
48;1.158846684864589;0.9168292880058289
49;1.0690209524972099;0.9565123319625854
50;1.0506334049361092;0.9695619940757751
51;0.9937350068773542;0.9903122633695602
52;1.3020382864134652;0.8257053047418594
53;1.0988022259303503;0.9847820699214935
54;1.1401085938726152;1.1943400651216507
55;1.0218240107808794;0.8607829213142395
56;1.0453659381185259;0.83267842233181
57;1.0515103936195374;0.9010519236326218
58;1.0855345215116228;0.935399204492569
59;1.059494205883571;1.1594205796718597
60;1.0842750838824682;1.0049314498901367
