Epoca;Train_Total;Train_Img_mse;Train_Adv_mse;Val_Total;Val_Img_mse;Val_Adv_mse
1;0.11797215044498444;0.11797215044498444;1.2285831826073783;0.06740542966872454;0.06740542966872454;0.7142593711614609
2;0.09719377011060715;0.09719377011060715;1.1778698989323206;0.0707297082990408;0.0707297082990408;0.8551466464996338
3;0.0873127430677414;0.0873127430677414;1.2143968343734741;0.0722400676459074;0.0722400676459074;1.1559025198221207
4;0.07717047738177436;0.07717047738177436;1.372577156339373;0.06984732113778591;0.06984732113778591;0.8565993756055832
5;0.06905365309544972;0.06905365309544972;1.0371397137641907;0.06384163349866867;0.06384163349866867;0.848261758685112
6;0.062446308455296924;0.062446308455296924;0.9864965762410846;0.05794209707528353;0.05794209707528353;0.8880738019943237
7;0.06025621401412146;0.06025621401412146;1.2792437502316065;0.05404883064329624;0.05404883064329624;1.0121503472328186
8;0.05599053470151765;0.05599053470151765;1.0935014997209822;0.05138828605413437;0.05138828605413437;1.0592573583126068
9;0.048344459916864126;0.048344459916864126;1.3246382474899292;0.04867896903306246;0.04867896903306246;1.2627841979265213
10;0.048015864832060676;0.048015864832060676;1.2544766749654497;0.04637942276895046;0.04637942276895046;1.3896036744117737
11;0.043697738753897805;0.043697738753897805;1.2488765631403242;0.043920078314840794;0.043920078314840794;1.2375558465719223
12;0.04187890834042004;0.04187890834042004;1.643745047705514;0.04067893512547016;0.04067893512547016;1.246201291680336
13;0.041793521493673325;0.041793521493673325;1.501560892377581;0.038864568807184696;0.038864568807184696;1.1465236693620682
14;0.038058328575321605;0.038058328575321605;1.1893014992986406;0.03648458141833544;0.03648458141833544;1.0625037103891373
15;0.035945172288588116;0.035945172288588116;1.5281116792133875;0.03389163641259074;0.03389163641259074;1.0899429321289062
16;0.03429924377373287;0.03429924377373287;1.176164252417428;0.03218305157497525;0.03218305157497525;1.1378459483385086
17;0.03279599201466356;0.03279599201466356;1.4386543376105172;0.03138009598478675;0.03138009598478675;1.116691693663597
18;0.03108794375189713;0.03108794375189713;1.363406709262303;0.030391104519367218;0.030391104519367218;1.1077420860528946
19;0.029467510857752392;0.029467510857752392;1.3736165932246618;0.029220481868833303;0.029220481868833303;1.184782162308693
20;0.029342237593872205;0.029342237593872205;1.28325035742351;0.02817020984366536;0.02817020984366536;1.0660569071769714
21;0.028369460787091936;0.028369460787091936;1.6701014467648096;0.027473476249724627;0.027473476249724627;1.105110540986061
22;0.027338530868291855;0.027338530868291855;1.7166114364351546;0.026434885803610086;0.026434885803610086;1.0488946437835693
23;0.03002257538693292;0.03002257538693292;1.5187922375542777;0.026685488410294056;0.026685488410294056;1.0456851422786713
24;0.02762655328427042;0.02762655328427042;1.3932447944368636;0.026632619556039572;0.026632619556039572;1.0107904076576233
25;0.02785656973719597;0.02785656973719597;1.6484476668494088;0.02699016872793436;0.02699016872793436;1.028959333896637
26;0.025887542005096163;0.025887542005096163;1.580349053655352;0.024527349043637514;0.024527349043637514;1.1937970221042633
27;0.024993597928966795;0.024993597928966795;1.759800808770316;0.02376799052581191;0.02376799052581191;1.1971399933099747
