Epoca;Train_Total;Train_Img_L1;Train_Adv_L1;Val_Total;Val_Img_L1;Val_Adv_L1
1;2.4616096019744873;0.2461609586196787;0.6772346724482143;2.335030953089396;0.23350309663348728;0.755568630165524
2;2.2618047069100773;0.2261804692885455;0.8062391491497264;2.1333138015535145;0.21333138313558367;1.88677626185947
3;2.0952605219448315;0.2095260532463298;1.0984140844906078;1.9604236947165594;0.19604237212075126;1.35448424021403
4;1.9412279058905209;0.1941227921668221;1.3597603124730728;1.798703259891934;0.17987032565805647;1.835686895582411
5;1.8021957944421207;0.1802195792689043;1.7498914073495304;1.6570078134536743;0.16570078167650434;2.120079199473063
6;1.7586829171461218;0.17002416445928462;2.04544436230379;1.6273254685931735;0.15586155156294504;2.4048485491010876
7;1.744110759566812;0.16017534715287826;2.4912522259880516;1.6324334806866116;0.14714057577980888;2.8179852962493896
8;1.7677220807355993;0.15240035425214207;2.843382849412806;1.6719396114349365;0.14098271479209265;3.0579786035749645
9;1.828902756466585;0.14601779992089553;3.2263415701249065;1.7570087379879422;0.13536127077208626;3.5297152996063232
10;1.9160100432003246;0.1415362875251209;3.504529826781329;1.859460367096795;0.13016757037904528;3.904492590162489
11;2.0311097117031323;0.13719597984762752;3.8450410927043244;1.9706133471594915;0.12680753072102866;4.098138597276476
12;2.146383054116193;0.13224427927942836;4.11970116110409;2.1171337763468423;0.12218133939637078;4.476601839065552
13;2.265314957674812;0.12843716013080933;4.291627280852374;2.2584839397006564;0.12212183326482773;4.538037061691284
14;2.44275798517115;0.12642738266902812;4.582993773853078;2.4518430762820773;0.11643199622631073;5.007034089830187
15;2.585820660871618;0.12346911956282224;4.728952800526338;2.631544139650133;0.11474684708648258;5.194264623853895
16;2.737129800459918;0.12108238392016467;4.8564278658698585;2.8283027278052435;0.11094773643546635;5.46898971663581
17;2.924364580827601;0.11916278215015635;5.053815420936136;3.000440306133694;0.10908716171979904;5.569575309753418
18;3.06088028234594;0.11578948269872104;5.1234222860897285;3.195307042863634;0.10955300430456798;5.653245660993788
19;3.214019116233377;0.11599806608522639;5.135096129249124;3.372270690070258;0.10811125073168013;5.727895339330037
20;3.4016393352957333;0.11450410283663694;5.26539597791784;3.570656167136298;0.10799534287717608;5.811639653311835
21;3.5915028487934784;0.11418772839448031;5.358555990106919;3.7317509916093616;0.1066264659166336;5.830751366085476
22;3.7387836259954117;0.11325423025033053;5.365790956160602;3.9431163469950357;0.10582495563560063;5.939431614345974
23;3.9227873157052433;0.11375756737063913;5.41568904764512;4.125639041264852;0.10515290084812376;5.977435774273342
24;4.088483459809247;0.11161166517173543;5.475412312675925;4.295050144195557;0.10408112158377965;5.994650416904026
25;4.28179053699269;0.11192233904319651;5.534492352429559;4.513911379708184;0.10356191876861784;6.087011019388835
26;4.421434150022619;0.10877487282542621;5.556142189923455;4.692911677890354;0.10276545584201813;6.108761522505018
27;4.635854566798491;0.108557567876928;5.648170667536118;4.912018775939941;0.1021669606367747;6.189191712273492
28;4.829072587630328;0.10805605439578786;5.704257376053754;5.168461852603489;0.10001158217589061;6.343135091993544
29;4.971906661987305;0.10948598253376343;5.6540265363805435;5.3242736392551;0.10116727898518245;6.289209577772352
30;5.110892912920783;0.10709888882496778;5.655865500955021;5.546109729342991;0.1002052558792962;6.361679924858941
31;5.332964784958783;0.1064770791460486;5.745645719416001;5.77379051844279;0.09988596538702647;6.427791436513265
32;5.522570469800164;0.10688968484892565;5.7732804803287285;5.900384002261692;0.10031899892621571;6.348214520348443
33;5.713680070989272;0.10684506682788625;5.806536646450267;6.0898482004801435;0.09948972115914027;6.368688689337836
34;5.843105316162109;0.10680781874586553;5.762963687672334;6.292057302263048;0.09844816807243559;6.405694802602132
35;6.048394006841323;0.10392206381349002;5.844035457162296;6.473648866017659;0.09794675144884321;6.409878147972955
36;6.209434088538675;0.10668264723875943;5.806169874527875;6.632425626118978;0.09842038734091653;6.377024544609918
37;6.388256297392004;0.10488439219839432;5.83998228521908;6.854066848754883;0.09783173352479935;6.426600933074951
38;6.550343401291791;0.10346914696342804;5.84993382061229;7.09946854909261;0.09727765123049419;6.498006714714898
39;6.752798865823185;0.1042802763335845;5.877937176648309;7.372831662495931;0.09689651843574312;6.5922154850429955
40;6.947283464319566;0.10472729670650818;5.900010501637178;7.585888968573676;0.09719765351878272;6.613912370469835
41;6.948078043320599;0.10306992907734479;5.917378734139835;7.530386712816027;0.09752329935630162;6.555153793758816
42;6.937426034141989;0.10382698651622324;5.899156177745146;7.5461685922410755;0.09705336971415414;6.575634744432238
43;6.9777319571551155;0.10272853076457977;5.950446633731618;7.571615325080024;0.09650819251934688;6.606533421410455
44;6.92396281747257;0.10365483252441182;5.887414455413818;7.564351770612928;0.09624282932943767;6.60192346572876
45;6.964535292457132;0.10444868005373899;5.920048489290125;7.447923236423069;0.09694860047764248;6.478437211778429
46;7.0479105500613946;0.10180487702874576;6.029861814835492;7.491596539815267;0.09691993809408611;6.522397094302708
47;7.043203858768239;0.10284954221809611;6.0147084348341995;7.525871488783094;0.09608828938669628;6.564988560146755
48;7.031009141136618;0.1027186591835583;6.003822579103358;7.542139477199978;0.0967710597647561;6.574428823259142
49;6.988391876220703;0.10195827264996137;5.968809211955351;7.468298276265462;0.09626616372002496;6.505636692047119
50;7.01091656965368;0.10175371257697835;5.993379396550796;7.557519806755914;0.09566165258487065;6.600903299119738
51;7.0925995321834785;0.10305209370220408;6.0620785600998826;7.580657958984375;0.0953119628959232;6.627538469102648
52;7.047432759228875;0.10208608166259878;6.0265719189363365;7.605739116668701;0.0951394389073054;6.654344823625353
53;7.031771323260139;0.10139481942443286;6.017823079053094;7.583547645144993;0.09474749366442363;6.636072688632542
54;7.111488370334401;0.10365498898660436;6.074938521665685;7.622093730502659;0.0947407517168257;6.674686166975233
55;7.039740057552562;0.10210974076214958;6.018642621881821;7.645981682671441;0.09551210618681377;6.69086053636339
56;7.0563591508304375;0.10101594381472644;6.04619971443625;7.591643492380778;0.09497424877352184;6.641900910271539
57;7.069281858556411;0.10230595092563068;6.046222294078154;7.595084402296278;0.09588513357771768;6.6362331178453235
58;7.069605715134564;0.1026852135272587;6.042753556195428;7.599266370137532;0.09604449487394756;6.638821548885769
59;7.1013635467080505;0.10217790480922251;6.079584514393526;7.615017096201579;0.09565578235520257;6.658459186553955
60;7.0823961145737595;0.10459509316612692;6.036445224986357;7.617924531300862;0.09615777681271236;6.656346797943115
61;7.098792412701775;0.10284042971975663;6.070388148812687;7.61327764723036;0.0952768466538853;6.660509162478977
62;7.014539971071131;0.10087847753482707;6.0057552281548;7.6469507747226295;0.09452791346444024;6.701671600341797
63;7.040037884431727;0.10097809179740794;6.030256944544175;7.659693029191759;0.0951477297478252;6.70821566051907
64;7.066606325261733;0.10212845355272293;6.04532174503102;7.6459018389383955;0.09512113614214791;6.694690439436171
65;7.096969492295209;0.10312591054860283;6.06571034824147;7.546078734927708;0.09711836609575483;6.574895064036052
